Student_ID,Sinhala_Tamil,Sinhala_Tamil_Grade,Maths,Maths_Grade,Science,Science_Grade,Buddhism,Buddhism_Grade,English,English_Grade,History,History_Grade,Basket1_Subject,Basket1_Marks,Basket1_Grade,Basket2_Subject,Basket2_Marks,Basket2_Grade,Basket3_Subject,Basket3_Marks,Basket3_Grade,Total_Marks,Average_Marks,Overall_Grade
STU0024,63,B,63,B,74,B,52,C,96,A,65,B,Agriculture,95,A,English_Lit,42,C,ICT,7,F,557,61.89,B
STU0025,69,B,86,A,80,A,79,A,68,B,35,C,Agriculture,37,C,Art,68,B,Media,87,A,609,67.67,B
STU0026,77,A,78,A,87,A,36,C,72,B,84,A,Agriculture,65,B,Music,64,B,Health,81,A,644,71.56,B
STU0027,70,B,4,F,100,A,80,A,72,B,37,C,Agriculture,61,B,Drama,68,B,Health,13,F,505,56.11,B
STU0028,2,F,84,A,81,A,59,B,91,A,3,F,Agriculture,90,A,Sinhala_Lit,60,B,Home_Science,96,A,566,62.89,B
STU0029,57,B,9,F,59,B,96,A,66,B,63,B,Agriculture,60,B,Sinhala_Lit,72,B,ICT,75,A,557,61.89,B
STU0030,94,A,91,A,96,A,69,B,82,A,72,B,Agriculture,18,F,Drama,64,B,Health,36,C,622,69.11,B
STU0031,73,B,23,F,96,A,38,C,94,A,24,F,Commerce,58,B,Drama,99,A,Media,100,A,605,67.22,B
STU0032,65,B,54,C,68,B,99,A,63,B,50,C,Commerce,36,C,English_Lit,59,B,Health,79,A,573,63.67,B
STU0033,40,C,67,B,80,A,82,A,60,B,90,A,Commerce,63,B,Dance,91,A,Home_Science,48,C,621,69,B
STU0034,90,A,56,B,68,B,65,B,55,B,46,C,Agriculture,42,C,English_Lit,72,B,Home_Science,93,A,587,65.22,B
STU0035,62,B,8,F,61,B,90,A,55,B,39,C,Agriculture,86,A,Sinhala_Lit,37,C,Health,36,C,474,52.67,C
STU0036,39,C,75,A,71,B,70,B,12,F,42,C,Agriculture,70,B,Music,66,B,Home_Science,43,C,488,54.22,C
STU0037,7,F,61,B,4,F,69,B,88,A,97,A,Commerce,58,B,Dance,87,A,Home_Science,98,A,569,63.22,B
STU0038,46,C,11,F,49,C,65,B,13,F,85,A,Agriculture,54,C,Drama,72,B,ICT,59,B,454,50.44,C
STU0039,42,C,92,A,44,C,80,A,50,C,90,A,Agriculture,63,B,Drama,84,A,ICT,69,B,614,68.22,B
STU0040,94,A,87,A,74,B,62,B,80,A,71,B,Agriculture,63,B,Sinhala_Lit,44,C,Media,82,A,657,73,B
STU0041,88,A,77,A,72,B,29,F,59,B,86,A,Commerce,44,C,Drama,49,C,Health,74,B,578,64.22,B
STU0042,84,A,54,C,19,F,99,A,49,C,10,F,Agriculture,60,B,Dance,15,F,ICT,37,C,427,47.44,C
STU0043,49,C,58,B,91,A,15,F,68,B,82,A,Agriculture,39,C,Sinhala_Lit,67,B,ICT,64,B,533,59.22,B
STU0044,74,B,53,C,42,C,49,C,73,B,100,A,Commerce,40,C,Art,58,B,ICT,40,C,529,58.78,B
STU0045,90,A,95,A,87,A,42,C,88,A,77,A,Agriculture,44,C,Dance,39,C,Media,75,A,637,70.78,B
STU0046,57,B,64,B,77,A,45,C,68,B,58,B,Agriculture,59,B,Dance,49,C,Home_Science,78,A,555,61.67,B
STU0047,70,B,86,A,82,A,97,A,53,C,58,B,Commerce,66,B,Dance,89,A,Home_Science,42,C,643,71.44,B
STU0048,45,C,49,C,99,A,62,B,88,A,60,B,Agriculture,86,A,Drama,68,B,ICT,82,A,639,71,B
STU0049,82,A,62,B,54,C,54,C,35,C,65,B,Agriculture,76,A,Art,8,F,Health,40,C,476,52.89,C
STU0050,60,B,39,C,43,C,92,A,67,B,63,B,Agriculture,77,A,Art,89,A,Health,86,A,616,68.44,B
STU0051,48,C,49,C,70,B,56,B,49,C,82,A,Commerce,56,B,Sinhala_Lit,100,A,Health,79,A,589,65.44,B
STU0052,82,A,4,F,34,F,72,B,64,B,61,B,Agriculture,100,A,English_Lit,71,B,Media,76,A,564,62.67,B
STU0053,71,B,95,A,83,A,84,A,47,C,42,C,Commerce,23,F,English_Lit,46,C,ICT,56,B,547,60.78,B
STU0054,75,A,73,B,25,F,99,A,95,A,41,C,Agriculture,62,B,Drama,64,B,Media,64,B,598,66.44,B
STU0055,93,A,96,A,50,C,73,B,69,B,57,B,Commerce,48,C,English_Lit,23,F,Home_Science,61,B,570,63.33,B
STU0056,35,C,42,C,54,C,42,C,73,B,67,B,Commerce,77,A,English_Lit,93,A,Media,96,A,579,64.33,B
STU0057,36,C,85,A,47,C,57,B,64,B,67,B,Commerce,88,A,Art,46,C,ICT,48,C,538,59.78,B
STU0058,69,B,97,A,50,C,3,F,60,B,78,A,Commerce,41,C,Dance,42,C,Home_Science,4,F,444,49.33,C
STU0059,70,B,39,C,70,B,93,A,94,A,48,C,Commerce,66,B,English_Lit,79,A,Home_Science,62,B,621,69,B
STU0060,79,A,42,C,43,C,84,A,15,F,16,F,Agriculture,78,A,Art,64,B,ICT,97,A,518,57.56,B
STU0061,83,A,33,F,71,B,66,B,89,A,81,A,Agriculture,57,B,Music,78,A,Home_Science,71,B,629,69.89,B
STU0062,91,A,75,A,98,A,66,B,79,A,53,C,Commerce,73,B,English_Lit,63,B,ICT,89,A,687,76.33,A
STU0063,5,F,51,C,26,F,69,B,39,C,59,B,Agriculture,72,B,Dance,95,A,Health,42,C,458,50.89,C
STU0064,89,A,37,C,62,B,62,B,64,B,52,C,Agriculture,72,B,Sinhala_Lit,55,B,ICT,59,B,552,61.33,B
STU0065,48,C,49,C,78,A,83,A,42,C,18,F,Agriculture,48,C,Dance,3,F,Home_Science,56,B,425,47.22,C
STU0066,42,C,52,C,37,C,40,C,64,B,40,C,Agriculture,22,F,Art,69,B,Media,32,F,398,44.22,C
STU0067,62,B,60,B,84,A,36,C,82,A,89,A,Commerce,2,F,Dance,39,C,Home_Science,98,A,552,61.33,B
STU0068,73,B,29,F,75,A,79,A,40,C,92,A,Commerce,5,F,Art,70,B,Health,48,C,511,56.78,B
STU0069,78,A,16,F,47,C,65,B,93,A,11,F,Commerce,44,C,Art,67,B,Media,50,C,471,52.33,C
STU0070,92,A,64,B,100,A,42,C,90,A,77,A,Commerce,55,B,Art,48,C,ICT,99,A,667,74.11,B
STU0071,94,A,90,A,61,B,78,A,74,B,58,B,Commerce,42,C,Sinhala_Lit,95,A,Media,48,C,640,71.11,B
STU0072,40,C,55,B,43,C,57,B,25,F,73,B,Agriculture,69,B,Drama,60,B,ICT,96,A,518,57.56,B
STU0073,13,F,76,A,75,A,80,A,58,B,46,C,Agriculture,64,B,Sinhala_Lit,50,C,ICT,44,C,506,56.22,B
STU0074,57,B,66,B,83,A,92,A,52,C,91,A,Agriculture,59,B,Dance,45,C,Home_Science,40,C,585,65,B
STU0075,61,B,89,A,82,A,17,F,70,B,21,F,Agriculture,56,B,Art,66,B,Health,72,B,534,59.33,B
STU0076,94,A,76,A,53,C,45,C,51,C,96,A,Commerce,72,B,Sinhala_Lit,82,A,Health,74,B,643,71.44,B
STU0077,48,C,70,B,56,B,58,B,92,A,44,C,Agriculture,18,F,Music,50,C,Health,46,C,482,53.56,C
STU0078,95,A,81,A,68,B,48,C,28,F,80,A,Commerce,13,F,Sinhala_Lit,36,C,ICT,92,A,541,60.11,B
STU0079,99,A,45,C,15,F,67,B,45,C,27,F,Commerce,78,A,Dance,57,B,ICT,5,F,438,48.67,C
STU0080,69,B,88,A,56,B,40,C,24,F,81,A,Commerce,57,B,Dance,67,B,Home_Science,89,A,571,63.44,B
STU0081,57,B,50,C,82,A,48,C,61,B,66,B,Commerce,56,B,Drama,89,A,Health,65,B,574,63.78,B
STU0082,93,A,92,A,35,C,48,C,87,A,91,A,Agriculture,46,C,Sinhala_Lit,62,B,Home_Science,47,C,601,66.78,B
STU0083,20,F,37,C,97,A,73,B,97,A,88,A,Commerce,60,B,Drama,76,A,ICT,64,B,612,68,B
STU0084,33,F,40,C,95,A,96,A,98,A,93,A,Commerce,65,B,Sinhala_Lit,94,A,Home_Science,90,A,704,78.22,A
STU0085,41,C,64,B,79,A,87,A,36,C,14,F,Agriculture,76,A,Art,54,C,ICT,85,A,536,59.56,B
STU0086,64,B,12,F,52,C,46,C,65,B,69,B,Agriculture,55,B,Drama,41,C,Health,65,B,469,52.11,C
STU0087,39,C,80,A,64,B,48,C,63,B,92,A,Agriculture,46,C,English_Lit,56,B,Health,60,B,548,60.89,B
STU0088,89,A,1,F,8,F,49,C,42,C,71,B,Commerce,33,F,Art,38,C,Home_Science,62,B,393,43.67,C
STU0089,70,B,36,C,90,A,62,B,77,A,67,B,Agriculture,74,B,Music,1,F,Health,70,B,547,60.78,B
STU0090,50,C,72,B,47,C,85,A,69,B,46,C,Commerce,1,F,Art,89,A,ICT,69,B,528,58.67,B
STU0091,60,B,67,B,66,B,90,A,66,B,86,A,Agriculture,85,A,Sinhala_Lit,43,C,Home_Science,99,A,662,73.56,B
STU0092,74,B,60,B,85,A,99,A,70,B,77,A,Agriculture,53,C,Music,40,C,Health,75,A,633,70.33,B
STU0093,57,B,66,B,48,C,76,A,94,A,57,B,Agriculture,39,C,Sinhala_Lit,43,C,Home_Science,22,F,502,55.78,B
STU0094,75,A,65,B,58,B,74,B,45,C,85,A,Commerce,64,B,Sinhala_Lit,88,A,Media,40,C,594,66,B
STU0095,51,C,83,A,64,B,37,C,38,C,79,A,Commerce,57,B,Drama,15,F,Home_Science,57,B,481,53.44,C
STU0096,53,C,47,C,12,F,69,B,73,B,98,A,Agriculture,88,A,English_Lit,70,B,ICT,90,A,600,66.67,B
STU0097,39,C,95,A,71,B,55,B,74,B,70,B,Commerce,37,C,Sinhala_Lit,36,C,ICT,58,B,535,59.44,B
STU0098,41,C,58,B,51,C,13,F,95,A,20,F,Commerce,86,A,Drama,77,A,ICT,36,C,477,53,C
STU0099,98,A,35,C,38,C,37,C,37,C,54,C,Agriculture,87,A,Drama,61,B,ICT,42,C,489,54.33,C
STU0100,64,B,2,F,68,B,79,A,66,B,65,B,Commerce,80,A,Drama,87,A,Health,76,A,587,65.22,B
STU0101,66,B,73,B,43,C,71,B,82,A,47,C,Commerce,42,C,Art,73,B,Media,63,B,560,62.22,B
STU0102,62,B,89,A,85,A,73,B,100,A,54,C,Commerce,62,B,Sinhala_Lit,56,B,Media,82,A,663,73.67,B
STU0103,77,A,97,A,73,B,92,A,65,B,96,A,Agriculture,56,B,English_Lit,42,C,Health,88,A,686,76.22,A
STU0104,43,C,70,B,17,F,97,A,43,C,48,C,Agriculture,91,A,Sinhala_Lit,85,A,Media,73,B,567,63,B
STU0105,95,A,90,A,55,B,55,B,96,A,73,B,Agriculture,55,B,Art,64,B,Media,72,B,655,72.78,B
STU0106,88,A,82,A,59,B,82,A,38,C,85,A,Commerce,30,F,Dance,57,B,ICT,67,B,588,65.33,B
STU0107,87,A,40,C,86,A,34,F,35,C,95,A,Commerce,55,B,Drama,84,A,Media,24,F,540,60,B
STU0108,73,B,41,C,99,A,74,B,98,A,76,A,Agriculture,97,A,Music,70,B,ICT,47,C,675,75,A
STU0109,92,A,43,C,60,B,83,A,95,A,40,C,Agriculture,35,C,English_Lit,61,B,Home_Science,75,A,584,64.89,B
STU0110,99,A,45,C,60,B,59,B,90,A,80,A,Commerce,59,B,Art,53,C,Health,54,C,599,66.56,B
STU0111,77,A,91,A,56,B,30,F,58,B,55,B,Commerce,40,C,Art,88,A,Home_Science,38,C,533,59.22,B
STU0112,23,F,87,A,36,C,51,C,91,A,75,A,Agriculture,82,A,Art,58,B,Media,88,A,591,65.67,B
STU0113,64,B,38,C,69,B,18,F,40,C,38,C,Agriculture,98,A,Art,55,B,ICT,59,B,479,53.22,C
STU0114,70,B,77,A,75,A,62,B,47,C,16,F,Commerce,40,C,Art,98,A,Home_Science,51,C,536,59.56,B
STU0115,68,B,42,C,42,C,64,B,59,B,6,F,Commerce,37,C,Music,10,F,ICT,74,B,402,44.67,C
STU0116,72,B,56,B,4,F,66,B,90,A,40,C,Agriculture,20,F,Art,79,A,Home_Science,66,B,493,54.78,C
STU0117,86,A,75,A,32,F,72,B,87,A,44,C,Commerce,56,B,English_Lit,44,C,Health,52,C,548,60.89,B
STU0118,56,B,3,F,78,A,91,A,77,A,79,A,Commerce,46,C,Music,50,C,Media,64,B,544,60.44,B
STU0119,69,B,90,A,39,C,74,B,59,B,83,A,Agriculture,26,F,Dance,74,B,Health,87,A,601,66.78,B
STU0120,79,A,71,B,77,A,26,F,90,A,74,B,Agriculture,85,A,Drama,42,C,Media,3,F,547,60.78,B
STU0121,85,A,47,C,68,B,83,A,71,B,55,B,Commerce,99,A,Sinhala_Lit,53,C,Home_Science,55,B,616,68.44,B
STU0122,19,F,64,B,15,F,92,A,66,B,72,B,Agriculture,83,A,Sinhala_Lit,57,B,ICT,86,A,554,61.56,B
STU0123,90,A,23,F,4,F,57,B,88,A,39,C,Agriculture,83,A,English_Lit,64,B,Home_Science,53,C,501,55.67,B
STU0124,55,B,71,B,80,A,58,B,14,F,64,B,Agriculture,47,C,Music,45,C,ICT,61,B,495,55,B
STU0125,61,B,51,C,54,C,24,F,14,F,77,A,Agriculture,76,A,Music,44,C,Media,44,C,445,49.44,C
STU0126,72,B,84,A,10,F,91,A,66,B,82,A,Commerce,36,C,Drama,72,B,ICT,55,B,568,63.11,B
STU0127,63,B,87,A,55,B,18,F,57,B,96,A,Agriculture,94,A,Music,76,A,Home_Science,43,C,589,65.44,B
STU0128,29,F,30,F,67,B,75,A,61,B,88,A,Agriculture,91,A,Dance,42,C,Health,39,C,522,58,B
STU0129,65,B,76,A,26,F,93,A,72,B,67,B,Commerce,60,B,Sinhala_Lit,76,A,Home_Science,42,C,577,64.11,B
STU0130,75,A,87,A,15,F,43,C,49,C,92,A,Commerce,68,B,Drama,74,B,Home_Science,24,F,527,58.56,B
STU0131,35,C,38,C,63,B,55,B,96,A,42,C,Commerce,85,A,Dance,50,C,Health,77,A,541,60.11,B
STU0132,62,B,73,B,50,C,40,C,15,F,96,A,Commerce,68,B,Sinhala_Lit,69,B,ICT,53,C,526,58.44,B
STU0133,63,B,76,A,70,B,80,A,49,C,79,A,Commerce,70,B,Dance,63,B,Health,56,B,606,67.33,B
STU0134,76,A,37,C,43,C,97,A,88,A,59,B,Commerce,44,C,Sinhala_Lit,59,B,ICT,48,C,551,61.22,B
STU0135,49,C,90,A,78,A,43,C,79,A,37,C,Agriculture,65,B,Art,36,C,Home_Science,57,B,534,59.33,B
STU0136,41,C,66,B,41,C,91,A,40,C,70,B,Commerce,97,A,Drama,27,F,Health,28,F,501,55.67,B
STU0137,31,F,44,C,83,A,99,A,92,A,50,C,Agriculture,29,F,Art,69,B,Health,45,C,542,60.22,B
STU0138,66,B,44,C,69,B,44,C,40,C,44,C,Agriculture,62,B,English_Lit,65,B,ICT,42,C,476,52.89,C
STU0139,37,C,47,C,95,A,40,C,36,C,74,B,Commerce,38,C,Drama,67,B,ICT,84,A,518,57.56,B
STU0140,89,A,50,C,46,C,2,F,72,B,64,B,Commerce,34,F,English_Lit,42,C,Health,72,B,471,52.33,C
STU0141,53,C,73,B,63,B,97,A,88,A,28,F,Agriculture,53,C,Drama,77,A,ICT,70,B,602,66.89,B
STU0142,41,C,61,B,75,A,20,F,72,B,83,A,Commerce,98,A,Dance,87,A,Home_Science,57,B,594,66,B
STU0143,79,A,65,B,98,A,94,A,73,B,42,C,Commerce,87,A,English_Lit,70,B,ICT,86,A,694,77.11,A
STU0144,94,A,69,B,27,F,31,F,62,B,7,F,Commerce,76,A,Music,81,A,Health,77,A,524,58.22,B
STU0145,70,B,64,B,45,C,67,B,52,C,82,A,Agriculture,96,A,Sinhala_Lit,93,A,ICT,95,A,664,73.78,B
STU0146,80,A,60,B,74,B,0,F,61,B,18,F,Commerce,90,A,Dance,13,F,ICT,57,B,453,50.33,C
STU0147,48,C,31,F,92,A,96,A,12,F,52,C,Agriculture,93,A,Art,72,B,Media,44,C,540,60,B
STU0148,38,C,41,C,68,B,99,A,54,C,72,B,Commerce,51,C,Music,87,A,Media,96,A,606,67.33,B
STU0149,31,F,72,B,47,C,55,B,45,C,54,C,Commerce,70,B,Music,70,B,ICT,17,F,461,51.22,C
STU0150,68,B,61,B,80,A,80,A,60,B,40,C,Commerce,61,B,Drama,43,C,Media,43,C,536,59.56,B
STU0151,60,B,73,B,60,B,51,C,43,C,68,B,Commerce,48,C,Art,52,C,Health,87,A,542,60.22,B
STU0152,98,A,57,B,83,A,11,F,56,B,38,C,Commerce,83,A,Art,59,B,ICT,86,A,571,63.44,B
STU0153,92,A,91,A,96,A,57,B,0,F,99,A,Commerce,69,B,Sinhala_Lit,55,B,ICT,62,B,621,69,B
STU0154,68,B,73,B,88,A,70,B,71,B,49,C,Agriculture,20,F,Dance,74,B,Home_Science,51,C,564,62.67,B
STU0155,38,C,72,B,46,C,94,A,88,A,70,B,Agriculture,11,F,Dance,58,B,Home_Science,2,F,479,53.22,C
STU0156,52,C,68,B,75,A,71,B,79,A,39,C,Commerce,87,A,Drama,70,B,Home_Science,58,B,599,66.56,B
STU0157,34,F,41,C,47,C,44,C,55,B,66,B,Agriculture,19,F,Drama,67,B,Home_Science,20,F,393,43.67,C
STU0158,87,A,93,A,100,A,85,A,74,B,82,A,Agriculture,52,C,Music,44,C,ICT,79,A,696,77.33,A
STU0159,17,F,59,B,38,C,47,C,62,B,9,F,Agriculture,63,B,Sinhala_Lit,57,B,ICT,68,B,420,46.67,C
STU0160,68,B,56,B,37,C,96,A,53,C,70,B,Agriculture,93,A,Art,43,C,ICT,80,A,596,66.22,B
STU0161,80,A,86,A,77,A,38,C,99,A,98,A,Agriculture,92,A,English_Lit,86,A,ICT,67,B,723,80.33,A
STU0162,74,B,79,A,54,C,39,C,66,B,69,B,Agriculture,41,C,Art,47,C,Home_Science,82,A,551,61.22,B
STU0163,87,A,97,A,49,C,68,B,59,B,46,C,Commerce,46,C,Music,88,A,Health,82,A,622,69.11,B
STU0164,68,B,81,A,92,A,71,B,69,B,58,B,Commerce,43,C,English_Lit,93,A,Media,35,C,610,67.78,B
STU0165,44,C,33,F,23,F,73,B,100,A,37,C,Agriculture,98,A,Dance,56,B,Media,53,C,517,57.44,B
STU0166,38,C,19,F,68,B,16,F,73,B,47,C,Commerce,48,C,Sinhala_Lit,71,B,Health,70,B,450,50,C
STU0167,66,B,68,B,91,A,46,C,41,C,55,B,Commerce,42,C,Sinhala_Lit,63,B,Media,88,A,560,62.22,B
STU0168,78,A,78,A,72,B,44,C,88,A,18,F,Agriculture,43,C,English_Lit,96,A,Health,46,C,563,62.56,B
STU0169,39,C,58,B,13,F,99,A,78,A,38,C,Agriculture,57,B,English_Lit,82,A,Health,39,C,503,55.89,B
STU0170,57,B,98,A,28,F,44,C,93,A,44,C,Agriculture,52,C,English_Lit,60,B,Health,70,B,546,60.67,B
STU0171,95,A,96,A,1,F,63,B,64,B,76,A,Commerce,100,A,Music,52,C,Home_Science,47,C,594,66,B
STU0172,42,C,79,A,71,B,84,A,60,B,94,A,Agriculture,25,F,Sinhala_Lit,67,B,Health,73,B,595,66.11,B
STU0173,69,B,71,B,84,A,37,C,82,A,68,B,Commerce,88,A,Art,15,F,Home_Science,83,A,597,66.33,B
STU0174,63,B,87,A,33,F,43,C,93,A,74,B,Agriculture,81,A,English_Lit,37,C,ICT,65,B,576,64,B
STU0175,3,F,8,F,92,A,63,B,83,A,87,A,Commerce,85,A,Music,78,A,Media,71,B,570,63.33,B
STU0176,26,F,98,A,79,A,55,B,11,F,41,C,Agriculture,19,F,Music,60,B,Health,100,A,489,54.33,C
STU0177,56,B,67,B,77,A,49,C,13,F,65,B,Agriculture,100,A,Sinhala_Lit,60,B,Media,62,B,549,61,B
STU0178,66,B,19,F,54,C,63,B,64,B,86,A,Agriculture,38,C,Art,36,C,Health,84,A,510,56.67,B
STU0179,38,C,65,B,36,C,7,F,78,A,51,C,Agriculture,50,C,Dance,63,B,ICT,80,A,468,52,C
STU0180,77,A,80,A,85,A,85,A,35,C,14,F,Agriculture,74,B,Music,35,C,Health,96,A,581,64.56,B
STU0181,38,C,47,C,42,C,93,A,81,A,52,C,Commerce,0,F,Dance,66,B,Media,99,A,518,57.56,B
STU0182,96,A,96,A,66,B,62,B,0,F,96,A,Agriculture,70,B,Music,73,B,Media,77,A,636,70.67,B
STU0183,58,B,37,C,45,C,54,C,76,A,60,B,Commerce,21,F,Drama,98,A,Health,26,F,475,52.78,C
STU0184,86,A,39,C,75,A,70,B,63,B,47,C,Commerce,77,A,Music,97,A,ICT,50,C,604,67.11,B
STU0185,94,A,59,B,80,A,55,B,79,A,55,B,Commerce,75,A,Drama,42,C,Media,43,C,582,64.67,B
STU0186,91,A,80,A,50,C,82,A,99,A,36,C,Commerce,67,B,Dance,84,A,Media,73,B,662,73.56,B
STU0187,39,C,86,A,40,C,62,B,95,A,89,A,Commerce,57,B,Dance,16,F,Home_Science,16,F,500,55.56,B
STU0188,81,A,22,F,94,A,96,A,59,B,59,B,Agriculture,40,C,Sinhala_Lit,62,B,Health,95,A,608,67.56,B
STU0189,87,A,64,B,49,C,40,C,77,A,83,A,Commerce,92,A,Dance,72,B,Home_Science,97,A,661,73.44,B
STU0190,30,F,36,C,85,A,65,B,73,B,61,B,Agriculture,4,F,English_Lit,59,B,Media,71,B,484,53.78,C
STU0191,31,F,81,A,84,A,65,B,97,A,39,C,Agriculture,69,B,English_Lit,70,B,Home_Science,67,B,603,67,B
STU0192,78,A,56,B,87,A,54,C,82,A,60,B,Agriculture,97,A,Sinhala_Lit,46,C,Home_Science,49,C,609,67.67,B
STU0193,81,A,89,A,100,A,59,B,84,A,42,C,Agriculture,59,B,Art,98,A,Health,69,B,681,75.67,A
STU0194,62,B,72,B,74,B,70,B,53,C,98,A,Commerce,95,A,Sinhala_Lit,97,A,ICT,37,C,658,73.11,B
STU0195,56,B,54,C,5,F,60,B,64,B,67,B,Agriculture,57,B,English_Lit,68,B,Media,49,C,480,53.33,C
STU0196,62,B,73,B,66,B,100,A,37,C,95,A,Commerce,61,B,English_Lit,31,F,ICT,39,C,564,62.67,B
STU0197,20,F,5,F,28,F,47,C,36,C,95,A,Agriculture,39,C,Music,84,A,Media,63,B,417,46.33,C
STU0198,66,B,47,C,98,A,69,B,79,A,41,C,Agriculture,63,B,Music,84,A,Home_Science,66,B,613,68.11,B
STU0199,98,A,43,C,62,B,62,B,49,C,61,B,Agriculture,97,A,Dance,91,A,Media,82,A,645,71.67,B
STU0200,98,A,46,C,12,F,66,B,75,A,63,B,Commerce,91,A,Music,36,C,ICT,89,A,576,64,B
STU0201,65,B,93,A,90,A,36,C,95,A,81,A,Commerce,61,B,English_Lit,65,B,Health,79,A,665,73.89,B
STU0202,60,B,72,B,28,F,89,A,89,A,10,F,Agriculture,23,F,Art,84,A,Home_Science,52,C,507,56.33,B
STU0203,47,C,96,A,70,B,69,B,79,A,99,A,Agriculture,77,A,Drama,52,C,Health,59,B,648,72,B
STU0204,47,C,32,F,73,B,95,A,13,F,65,B,Commerce,88,A,Music,60,B,Home_Science,87,A,560,62.22,B
STU0205,46,C,64,B,70,B,79,A,39,C,78,A,Commerce,54,C,Drama,14,F,ICT,58,B,502,55.78,B
STU0206,37,C,68,B,39,C,65,B,78,A,75,A,Agriculture,92,A,Music,41,C,Home_Science,93,A,588,65.33,B
STU0207,100,A,68,B,74,B,35,C,71,B,97,A,Commerce,36,C,Art,37,C,Home_Science,54,C,572,63.56,B
STU0208,71,B,63,B,29,F,60,B,92,A,56,B,Commerce,88,A,Art,94,A,Home_Science,84,A,637,70.78,B
STU0209,59,B,76,A,54,C,76,A,92,A,90,A,Agriculture,45,C,English_Lit,94,A,Media,96,A,682,75.78,A
STU0210,54,C,80,A,64,B,98,A,82,A,88,A,Commerce,29,F,Dance,62,B,Media,96,A,653,72.56,B
STU0211,69,B,61,B,61,B,47,C,46,C,93,A,Commerce,94,A,Sinhala_Lit,55,B,Health,73,B,599,66.56,B
STU0212,49,C,53,C,44,C,26,F,76,A,60,B,Agriculture,96,A,English_Lit,60,B,Home_Science,97,A,561,62.33,B
STU0213,100,A,92,A,47,C,56,B,37,C,59,B,Commerce,41,C,Sinhala_Lit,29,F,Media,67,B,528,58.67,B
STU0214,85,A,96,A,77,A,48,C,63,B,65,B,Commerce,89,A,Drama,71,B,Home_Science,85,A,679,75.44,A
